subject_code,subject_name
1110,英語
1190,英語＋Ｌ
1520,リスニング
2160,数学Ⅰ
2260,数学ⅠＡ
2380,数学①
2480,数学②
2560,数学ⅡＢＣ
2580,数学①②
3910,国語
3120,現代文
3220,古文
3320,漢文
4205,物理基礎
4210,物理
4305,化学基礎
4310,化学
4405,生物基礎
4410,生物
4505,地学基礎
4510,地学
5210,日本史
5310,世界史
5410,地理
5510,政治経済
5610,倫理
5810,地歴公共
6110,情報Ⅰ
7215,私立理系型
7365,私立文系型
7515,国公６－６型
7665,国理６－８型
7765,国文６－８型
8110,理系
8210,文系
9110,英数国総
2270,Ⅰ型
2460,数学ⅡＢ
2570,Ⅱ型
2660,数学ⅢＣ
2770,Ⅲ型
3110,現代文
3210,現・古
3310,現古漢
4275,物理基礎
4280,物理
4375,化学基礎
4380,化学
4475,生物基礎
4575,地学基礎
4580,地学
5270,日本史
5370,世界史
5470,地理
5560,政治経済
5660,倫理
7120,国理
7220,国文
7320,私理
7420,私文
1710,英語理系
1810,英語文系
2710,数学理系
2810,数学文系
3710,国語理系
3810,国語文系
4480,生物
7155,英数国地型
7251,英数国理２型
7651,英数国理２型
3540,国語　理
6910,小論文
2910,数学
7153,英数理２型
1855,英語文学部
1910,英語外国語学部
3855,国語文学部
7152,英数国型
7252,英数理２型
7170,英数理２型
7270,英数理１型
7370,英数（文）理１型
7410,英数国型（文Ⅱ）
7450,英数国型（文Ⅰ）
3230,現・古（文学部）
2860,数学看護
6961,小論文文人文系
6962,小論文経済経営系
6963,小論文法政治系
6964,小論文数理論理系
6965,小論文政策科学系
6966,小論文情報科学系
2920,数学必須
2930,数学選択
7140,英数型
7240,英国型
7340,英数国型
8610,英数
8710,英国
