faculty_code,university_code,faculty_name
1,1,総合文系
2,1,文
3,1,教育
4,1,法
5,1,経済
6,1,総合理系
7,1,理
8,1,工
9,1,農
10,1,獣医
11,1,水産
12,1,医
13,1,歯
14,1,薬
15,2,文
16,2,教育
17,2,法
18,2,経済
19,2,理
20,2,工
21,2,農
22,2,医
23,2,歯
24,2,薬
25,3,文科一類
26,3,文科二類
27,3,文科三類
28,3,理科一類
29,3,理科二類
30,3,理科三類
31,4,理
32,4,工
33,4,物質理工
34,4,情報理工
35,4,生命理工
36,4,環境・社会
37,4,医
38,4,歯
39,5,社会
40,5,法
41,5,経済
42,5,商
43,5,ソーシャル
44,6,文
45,6,教育
46,6,法
47,6,経済
48,6,理
49,6,工
50,6,農
51,6,医
52,6,情報
53,7,文
54,7,教育
55,7,法
56,7,経済
57,7,理
58,7,工
59,7,農
60,7,医
61,7,薬
62,7,総合人間
63,8,文
64,8,公共政策
65,8,生命理工
66,8,農学食科学
67,8,環境科学
68,9,文
69,9,外国語
70,9,法
71,9,経済
72,9,理
73,9,工
74,9,基礎工
75,9,医
76,9,歯
77,9,薬
78,9,人間科学
79,10,文
80,10,法
81,10,経済
82,10,商
83,10,理
84,10,工
85,10,農
86,10,獣医
87,10,医
88,10,看護
89,10,生活科学
90,10,現代シス
91,11,文
92,11,法
93,11,経済
94,11,経営
95,11,理
96,11,工
97,11,システム
98,11,農
99,11,海洋政策
100,11,医
101,11,国際人間
102,12,国際商経
103,12,理
104,12,工
105,12,看護
106,12,環境人間
107,12,社会情報
108,13,文
109,13,理
110,13,工
111,13,生活環境
112,14,文
113,14,教育
114,14,共創
115,14,法
116,14,経済
117,14,理
118,14,工
119,14,芸術工
120,14,農
121,14,医
122,14,歯
123,14,薬
124,15,文
125,15,心理
126,15,神
127,15,グローコミ
128,15,グロー地域
129,15,社会
130,15,法
131,15,政策
132,15,経済
133,15,商
134,15,理工
135,15,生命医科学
136,15,スポーツ
137,15,文化情報
138,16,文
139,16,総合心理
140,16,産業社会
141,16,国際関係
142,16,法
143,16,政策科学
144,16,経済
145,16,経営
146,16,食マネジメ
147,16,情報理工
148,16,理工
149,16,生命科学
150,16,薬
151,16,映像
152,16,スポーツ
153,17,文
154,17,外国語
155,17,社会
156,17,社会安全
157,17,法
158,17,政策創造
159,17,経済
160,17,商
161,17,環境都市工
162,17,化学生命工
163,17,システム
164,17,人間健康
165,17,総合情報
166,17,ビジネス
167,18,文
168,18,教育
169,18,神
170,18,社会
171,18,人間福祉
172,18,国際
173,18,法
174,18,総合政策
175,18,経済
176,18,商
177,18,理
178,18,工
179,18,生命環境
180,18,建築
181,19,外国語
182,19,文化
183,19,現代社会
184,19,国際関係
185,19,法
186,19,経済
187,19,経営
188,19,理
189,19,情報理工
190,19,生命科学
191,20,文
192,20,心理
193,20,社会
194,20,国際
195,20,法
196,20,政策
197,20,経済
198,20,経営
199,20,先端理工
200,20,農
201,21,文芸
202,21,総合社会
203,21,国際
204,21,法
205,21,経済
206,21,経営
207,21,工
208,21,建築
209,21,情報
210,21,理工
211,21,生物理工
212,21,産業理工
213,21,農
214,21,医
215,21,薬
216,22,文
217,22,グローバル
218,22,法
219,22,経済
220,22,経営
221,22,マネジメ
222,22,フロンティ
223,22,知能情報
224,22,理工
